title_id,ganres
1734725,Информация
1734725,Природа
1734725,Путешествия
2150215,Путешествия
2411515,Путешествия
2016345,Природа
2659868,Развлечения
2316351,Природа
2855782,Природа
2923817,Информация
2923817,Природа
2923817,География
1784559,Информация
2870108,Информация
2870108,Природа
2870108,География
2945206,Информация
2945206,География
2836797,Информация
2836797,Развлечения
2836797,Путешествия
2836797,География
2855787,Природа
2175706,Развлечения
2267890,География
2923816,Информация
2923816,Природа
2923816,География
2987235,Информация
2987235,Природа
2987235,География
1737838,Информация
1737838,Природа
1737838,Путешествия
2342059,География
2822146,Информация
2822146,Развлечения
2822146,Путешествия
2822146,География
2641926,Информация
1492533,История
2438441,Путешествия
2438441,География
2130898,Детектив
2130898,Триллер
2130898,Мелодрама
2130898,Драма
1101527,Драма
2031046,Боевик
2031046,Драма
2031046,Комедия
2719092,Триллер
2490005,Комедия
1176195,Драма
1731587,Мелодрама
1179068,Мелодрама
1179068,Драма
1182831,Триллер
1182831,Боевик
1182831,Комедия
1309323,Криминал
1309323,Детектив
1309323,Триллер
1309323,Драма
1859828,Криминал
1859828,Триллер
1768337,Боевик
1768337,Комедия
1036064,Мелодрама
1036064,Драма
1036064,Комедия
2146976,Драма
1192377,Криминал
1192377,Триллер
1192377,Драма
1346468,Мелодрама
1091696,Мелодрама
1091696,Драма
1681228,Криминал
1681228,Триллер
1681228,Боевик
1681228,Драма
1055629,Боевик
1192392,Комедия
1151264,Боевик
1151264,Мюзикл
1151264,Мелодрама
1151264,Драма
1151264,Комедия
1928702,Детектив
1928702,Комедия
1058127,Мюзикл
1058127,Мелодрама
1058127,Драма
1058127,Комедия
1337284,Боевик
1337284,Мюзикл
1337284,Мелодрама
1337284,Драма
1457208,Комедия
976730,Боевик
976730,Мелодрама
976730,Комедия
1189067,Криминал
1189067,Драма
1189067,Комедия
1226235,Мюзикл
1226235,Мелодрама
1226235,Драма
2061415,Семейный
2061415,Драма
2061415,Комедия
1212184,Мелодрама
1212184,Комедия
1342679,Драма
1342679,Комедия
1114739,Криминал
1114739,Боевик
1114739,Драма
1287247,Криминал
1287247,Боевик
1287247,Драма
1845074,Боевик
1845074,Комедия
1730265,Семейный
1730265,Драма
91775,Боевик
91775,Приключения
559986,Мюзикл
559986,Мелодрама
559986,Драма
559986,Комедия
1750197,Мелодрама
1750197,Комедия
137647,Боевик
137647,Мелодрама
137647,Драма
2505645,Комедия
1657945,Драма
1657945,Комедия
180821,Триллер
180821,Мелодрама
2046628,Триллер
1226260,Криминал
1226260,Боевик
1226260,Драма
2143379,Боевик
2143379,Мелодрама
2143379,Драма
1098596,Триллер
1098596,Драма
1098596,Комедия
763657,Боевик
763657,Мелодрама
976733,Криминал
976733,Боевик
976733,Мюзикл
976733,Драма
1174364,Мелодрама
1174364,Комедия
2771793,Музыка
2771793,Мелодрама
2771793,Драма
1063009,Боевик
1063009,Драма
1775809,Боевик
1775809,Драма
1096969,Драма
1155780,Драма
1232911,Драма
167492,Криминал
167492,Драма
167492,Комедия
375130,Мелодрама
2046663,Комедия
976032,Драма
976032,Комедия
1537269,Драма
1537269,Комедия
1410431,Триллер
1410431,Боевик
1410431,Мелодрама
1410431,Драма
1822553,Экшн
1822553,Боевик
1822553,Комедия
2124874,Мелодрама
2124874,Комедия
1342912,Боевик
1342912,Драма
1031061,Мелодрама
1031061,Комедия
1193047,Мелодрама
1193047,Комедия
1296775,Мелодрама
1296775,Драма
1296775,Комедия
2223742,Мелодрама
2223742,Комедия
1283200,Криминал
1283200,Драма
1283200,Комедия
565677,Комедия
1285558,Мюзикл
1285558,Мелодрама
1285558,Драма
867534,Боевик
867534,Мелодрама
867534,Комедия
170958,Боевик
170958,Фэнтези
1182193,Триллер
1182193,Драма
1182193,Комедия
1241749,Мелодрама
1241749,Комедия
2771788,Мелодрама
2585561,Экшн
2585561,Триллер
2585561,Боевик
2585561,Мелодрама
2585561,Драма
2585561,Комедия
2554308,Драма
2554308,Комедия
1559205,Фэнтези
1559205,Драма
1559205,Комедия
1986440,Детектив
1986440,Драма
1556365,Криминал
1556365,Триллер
1556365,Драма
2138638,Драма
2138638,Комедия
2234119,Мелодрама
2234119,Драма
2234119,Комедия
2289711,Криминал
2289711,Триллер
2289711,Боевик
2289711,Драма
1112068,Триллер
1112068,Драма
2161570,Мелодрама
2161570,Комедия
1404515,Комедия
1477886,Триллер
1477886,Боевик
1338947,Драма
1857761,Боевик
1857761,Драма
1857761,Комедия
632064,Мелодрама
632064,Драма
632064,Комедия
1577416,Криминал
1577416,Триллер
1577416,Комедия
1273066,Триллер
1273066,Боевик
1273066,Фэнтези
2161370,Боевик
2161370,Комедия
1272001,Криминал
1272001,Драма
429845,Криминал
429845,Триллер
429845,Боевик
429845,Драма
1396212,Драма
1145277,Триллер
1145277,Мелодрама
1145277,Драма
614786,Мелодрама
2537733,Драма
1390053,Мелодрама
1390053,Комедия
1907768,Триллер
1907768,Боевик
1907768,Драма
1174394,Драма
1073424,Боевик
1073424,Комедия
1186131,Комедия
1363520,Драма
1363520,Комедия
437696,Драма
437696,Спорт
1398514,Фэнтези
1398514,Мелодрама
1398514,Драма
1398514,Комедия
1238470,Мюзикл
1238470,Драма
1238470,Комедия
1646043,Мелодрама
1646043,Драма
