title_id,name,role
1822522,Самира Редди,actor
1822522,Джонни Левер,actor
1822522,Сунил Шетти,actor
1822522,Пареш Раваль,actor
1822522,Тинну Ананд,actor
1822522,Раджпал Ядав,actor
1822522,Маной Джоши,actor
1822522,Адити Говитрикар,actor
1822522,Ганеш Джайн,producer
1822522,Гириш Джайн,producer
1822522,Abilash Nair,producer
1822522,Sanchita Chatterjee,producer
1822522,Ракша Мистри,producer
1822522,Притам Чакраборти,composer
1822522,Салим Мерчант,composer
1822522,Сулеман Мерчант,composer
1822522,Джей Мастер,writer
1822522,Ашиеш Пандит,writer
1822522,Нирадж Шридхар,writer
1822522,Приядаршан,writer
1206268,Нирадж Пандеу,director
1206268,Рана Даггубати,actor
1206268,Микал Зульфикар,actor
1206268,Мадхурима Тули,actor
1206268,Акшай Кумар,actor
1206268,Кэй Кэй Менон,actor
1206268,Анупам Кхер,actor
1206268,Дэнни Дензонгпа,actor
1206268,Сушант Сингх,actor
1206268,Тапси Панну,actor
1206268,Таапси Панну,actor
1206268,Джамиль Кхан,actor
1206268,Бхушан Кумар,producer
1206268,Шитал Бхатия,producer
1206268,Пауль В Бейкер,producer
1206268,Кентон Оксли,producer
1206268,Прафул Салунке,producer
1206268,Эджей Капур,producer
1206268,Кришан Кумар,producer
1206268,Каран Шах,producer
1206268,Ренгараджан Джайпракаш,producer
1206268,Тарлок Сингх,producer
1206268,Рави Сарин,producer
1206268,Шиваджи Дасгупта,producer
1206268,Викрам Малхотра,producer
1206268,Манан Самрат,producer
1206268,Санджай Чаудхари,composer
1206268,ММ Кеервани,composer
1206268,Нирадж Пандеу,writer
1371138,Фархад-Саджид,director
1371138,Наргис Факхри,actor
1371138,Абхишек Баччан,actor
1371138,Акшай Кумар,actor
1371138,Боман Ирани,actor
1371138,Джеки Шрофф,actor
1371138,Лиза Хейдон,actor
1371138,Ритеш Дешмукх,actor
1371138,Чанки Пандей,actor
1371138,Жаклин Фернандес,actor
1371138,Сунил Лула,producer
1371138,Саджид Надиадвала,producer
1371138,Амит Гупта,producer
1371138,Rakesh Madhotra,producer
1371138,Судипто Саркар,producer
1371138,М Шахджехан,producer
1371138,Крис Мартин,producer
1371138,Sushanto Sarkar,producer
1371138,Pearl Gill,producer
1371138,Джулиус Пакьям,composer
1371138,Сохаил Сен,composer
1371138,Танишк Багчи,composer
1371138,Sharib Toshi,composer
1371138,Мика Сингх,composer
1371138,Фархад-Саджид,writer
1371138,Фархад,writer
239812,Дармеш Даршан,director
239812,Суприя Карник,actor
239812,Абхишек Баччан,actor
239812,Акшай Кумар,actor
239812,Кадер Кхан,actor
239812,Мохниш Бехл,actor
239812,Каришма Капур,actor
239812,Шакти Капур,actor
239812,Химани Шивпури,actor
239812,Навнит Нишан,actor
239812,София Хак,actor
239812,Сунил Даршан,producer
239812,Сурендра Сингх-Содхи,composer
239812,Шраван Ратод,composer
