title_id,ganres
2732196,Информация
2732196,Путешествия
2923818,Информация
2923818,Природа
2923818,География
2855784,Путешествия
1972810,Путешествия
1492533,История
2423181,Путешествия
2974703,Информация
2974703,Путешествия
3006637,Информация
3006637,Природа
3006637,География
2841871,Путешествия
2855782,Природа
2621004,Информация
2016340,Природа
2670781,Развлечения
2144637,Путешествия
2375786,Путешествия
2475416,Путешествия
2518372,География
2882800,Информация
2882800,География
2925547,Информация
2925547,Развлечения
2925547,Путешествия
2925547,География
2417824,География
1533868,Природа
1402929,Природа
2747121,Информация
2747121,Путешествия
2945207,Информация
2945207,География
2161153,Путешествия
2859839,Развлечения
2859839,Путешествия
2709179,Информация
2709179,География
1602689,Природа
2841877,Информация
2841877,Путешествия
2150215,Путешествия
1996373,Путешествия
2602304,Информация
2747122,Информация
2747122,Путешествия
2792451,Информация
2792451,География
3006640,Информация
3006640,Природа
3006640,География
3006641,Информация
3006641,Природа
3006641,География
2952896,Информация
2952896,Природа
2952896,География
2559660,Путешествия
2559660,Приключения
2822146,Информация
2822146,Развлечения
2822146,Путешествия
2822146,География
2855778,Природа
2855798,Путешествия
2670787,Развлечения
2222866,Путешествия
2571083,Путешествия
2016334,Природа
2709180,Информация
2182878,Общество
2836797,Информация
2836797,Развлечения
2836797,Путешествия
2836797,География
2417874,География
2621001,Информация
2068739,Информация
2641926,Информация
2479972,Конференция
2479972,Репортаж
2440615,География
2739808,Путешествия
2631172,Информация
2631172,Развлечения
2002207,Путешествия
2836795,Информация
2836795,Развлечения
2836795,Путешествия
2836795,География
2602148,Информация
2631143,Информация
2764042,Информация
2764042,Развлечения
2518377,География
2267890,География
2031435,Путешествия
2855795,Природа
2484426,Путешествия
2676405,Информация
2750345,Информация
2750345,Путешествия
2750345,География
1953283,Путешествия
1448231,Природа
2242770,Природа
2242770,География
2559658,Путешествия
2882801,Информация
2882801,География
2549545,Информация
2899120,Информация
2899120,Развлечения
2899120,Путешествия
2899120,География
2676401,Информация
2475417,Путешествия
2335337,Путешествия
1784559,Информация
1623909,Природа
1623909,География
2508045,Природа
2508045,Путешествия
1561301,Природа
2995280,Путешествия
1737838,Информация
1737838,Природа
1737838,Путешествия
2665631,Развлечения
1122666,Природа
2375792,География
2952847,Информация
2952847,Развлечения
2952847,Путешествия
2952847,География
2002213,Природа
2960782,Информация
2960782,Природа
2960782,География
2355940,Путешествия
1468078,История
2316357,Природа
2316351,Природа
2616096,Информация
2899126,Информация
2899126,Развлечения
2899126,Путешествия
2423173,Путешествия
2316377,Природа
2316377,Путешествия
2836792,Информация
2836792,Развлечения
2836792,Путешествия
2836792,География
1745960,Природа
1972776,Путешествия
2747120,Информация
2747120,Путешествия
2803203,Триллер
2803203,Драма
2839622,Криминал
2839622,Боевик
2839622,Драма
1805825,Боевик
1805825,Мелодрама
1805825,Драма
2771793,Музыка
2771793,Мелодрама
2771793,Драма
1142178,Детектив
1142178,Мелодрама
1142178,Комедия
868675,Мелодрама
868675,Драма
1822522,Криминал
1822522,Комедия
1206268,Криминал
1206268,Триллер
1206268,Боевик
1371138,Боевик
1371138,Мелодрама
1371138,Комедия
239812,Мюзикл
239812,Мелодрама
239812,Драма
1174434,Комедия
1192403,Военный
1192403,Боевик
1192403,Драма
2484723,Драма
